video-title,video-link,video-views,video-date,video-channel
"REDMI 9 ainda é um CELULAR BARATO e BOM DE JOGO, mas com PROBLEMAS | Análise / Review",https://www.youtube.com/watch?v=wxxsLxWZjcs,56 mil visualizações,há 8 meses,TudoCelular
REDMI 9A: CELULAR BARATO da XIAOMI conquista pela BATERIA | Análise / Review,https://www.youtube.com/watch?v=LNt5qeYqRmI,57 mil visualizações,há 7 meses,TudoCelular
"Xiaomi REDMI 9 | Mais BARATO e com BATERIA GIGANTE, ÓTIMO DESEMPENHO e CÂMERAS! Análise/Review",https://www.youtube.com/watch?v=oTzxvOLtxb8,24 mil visualizações,há 10 meses,brasiliGEEKS
Olha ele! REDMI 9A - O XIAOMI MAIS BARATO DE 2020! VALE A PENA? Unboxing e Primeiras Impressões,https://www.youtube.com/watch?v=1SNLCknahKU,265 mil visualizações,há 11 meses,L Tech
XIAOMI REDMI 9 vale a pena? É O CUSTO BENEFÍCIO DE 2020?,https://www.youtube.com/watch?v=AmF9XRmeQPA,135 mil visualizações,há 10 meses,EscolhaSegura
"Redmi Note 9, BARATO ou FORA DA REALIDADE? [Análise/Review]",https://www.youtube.com/watch?v=Agc-V0-64k4,233 mil visualizações,há 11 meses,Canaltech
PERFEITO PELO PREÇO💲Xiaomi Redmi 9 Global🔥Análise,https://www.youtube.com/watch?v=Tp4JrKQ_Bc0,52 mil visualizações,há 1 ano,Tiago Ramos
XIAOMI REDMI NOTE 9 vale a pena? CONTINUA o MELHOR CUSTO BENEFÍCIO? // Análise Review Completo!,https://www.youtube.com/watch?v=89XzlH68XwU,504 mil visualizações,há 11 meses,EscolhaSegura
O XIAOMI MAIS BARATO 🤑 REDMI 9 ESTÁ UM ESPETÁCULO PELO SEU PREÇO 😍,https://www.youtube.com/watch?v=DWItlIiMRug,262 mil visualizações,há 1 ano,K Tech
XIAOMI MI 9 vale a pena? | Análise / Review Completo,https://www.youtube.com/watch?v=4V8j2HU-Ljk,563 mil visualizações,há 2 anos,EscolhaSegura
Xiaomi Redmi Note 9 vs Redmi 9 - ENTENDA QUAL O MELHOR PRA VOCÊ! QUAL COMPRAR? TEM MUITA DIFERENÇA?,https://www.youtube.com/watch?v=k2xA73AtCUE,447 mil visualizações,há 8 meses,Gesiel Taveira
Redmi 9 e Redmi Note 9 - Você Precisa Saber Disso!,https://www.youtube.com/watch?v=KQoLppgx5RQ,18 mil visualizações,há 9 meses,Em Análise
"Com ele! O MAIS BARATO DA XIAOMI EM 2020! Redmi 9A, MELHOROU? ou PIOROU? 🥵",https://www.youtube.com/watch?v=0EUg5QZoonQ,140 mil visualizações,há 10 meses,Jersu
"REDMI 9, o verdadeiro XIAOMI bom e barato? Vale a pena COMPRAR esse SMARTPHONE pra VOCÊ? Olha isso!",https://www.youtube.com/watch?v=85eTN4iyoxY,365 mil visualizações,há 10 meses,Gesiel Taveira
"Redmi Note 9, esse XIAOMI tá vendendo MUITO! Será uma BOA OPÇÃO pra VOCÊ? Assista esse vídeo",https://www.youtube.com/watch?v=4DV9lgzEKcI,738 mil visualizações,há 10 meses,Gesiel Taveira
XIAOMI MI 9: ótimo competidor que não custa US$ 1.000 [Análise / Review],https://www.youtube.com/watch?v=PeyAkq1gaEk,315 mil visualizações,há 2 anos,Canaltech
Smartphone 128GB POR 900 REAIS! PHILCO HIT MAX - PCS02 | Análise/ Review,https://www.youtube.com/watch?v=r7nyg6HWofk,22 mil visualizações,há 8 meses,brasiliGEEKS
Philco Hit Max: o smartphone acessível com 128 GB,https://www.youtube.com/watch?v=z2c7vUAM1Ck,39 mil visualizações,há 7 meses,Canaltech
PHILCO HIT MAX - ESSE VALE A PENA? Confiram nosso Review,https://www.youtube.com/watch?v=bmxzjJYmGXE,38 mil visualizações,há 10 meses,Tekimobile
O Smartphone mais BARATO com 128GB no BRASIL! PHILCO HIT MAX - Unboxing e Impressões,https://www.youtube.com/watch?v=_cBao8i7h48,612 mil visualizações,há 9 meses,Gesiel Taveira
