video-dislikes,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count
319,"Motorola One Fusion+, o BRANQUINHO MAIS LINDO de 2020? Unboxing e Impressões",https://www.youtube.com/watch?v=MR7kfsi2qkM,34564,474458,2020-08-06T16:35:01Z,Gesiel Taveira,1748
236,"MOTOROLA ONE FUSION foca do DESEMPENHO, BATERIA e CÂMERAS | Análise / Review",https://www.youtube.com/watch?v=FQHafzoM3FU,7492,197324,2020-09-03T15:26:16Z,TudoCelular,955
138,MOTOROLA ONE FUSION PLUS! O que ela NÃO poderia ter feito de JEITO NENHUM! Motorola one fusion+,https://www.youtube.com/watch?v=PYjG8-nKyJI,6266,80960,2020-08-24T22:42:10Z,Dudu Rocha,615
90,Motorola One Fusion e Fusion+: novos celulares com bateria de até 2 dias no Brasil! - TecMundo,https://www.youtube.com/watch?v=GpGs-y_ylCw,6274,91906,2020-07-16T12:57:17Z,TecMundo,435
157,Motorola One Macro vs Hyper vs Fusion e Fusion+ [Comparativo],https://www.youtube.com/watch?v=nfqOY-5_2Go,9632,135126,2020-10-15T00:00:10Z,Canaltech,552
503,MOTOROLA ONE FUSION vale a pena? // Análise & Review Completo!,https://www.youtube.com/watch?v=IQ3Z6gXpCZk,7084,161337,2020-10-04T17:15:01Z,EscolhaSegura,759
75,"MOTO G9 PLUS vs ONE FUSION PLUS: mesmo processador, EXPERIÊNCIAS BEM DIFERENTES | Comparativo",https://www.youtube.com/watch?v=AOtvIGrMvXw,4577,90525,2020-10-29T22:18:00Z,TudoCelular,350
265,Chegou! MOTOROLA ONE FUSION PLUS - QUE COR LINDA e CÂMERA POP UP! #UNBOXING,https://www.youtube.com/watch?v=qwn3cekn7yQ,14512,215033,2020-07-27T23:08:46Z,TukEmperial,996
213,Motorola ONE FUSION PLUS é melhor que o MOTO G9 PLUS? Qual comprar? Veja esse COMPARATIVO!,https://www.youtube.com/watch?v=9Ds0BahdQd4,21906,236203,2020-09-27T16:40:00Z,Gesiel Taveira,1395
425,"CHEGOU! Motorola ONE FUSION tá aqui, mas será um bom SMARTPHONE? Unboxing e Impressões",https://www.youtube.com/watch?v=vXu89gqgEGg,32642,471885,2020-11-09T14:10:00Z,Gesiel Taveira,2745
291,SAMSUNG GALAXY A71 vale a pena? | Análise / Review Completo,https://www.youtube.com/watch?v=arTLY7nj4Y0,30067,565112,2020-02-16T17:24:43Z,EscolhaSegura,2007
455,"Samsung Galaxy A71: um intermediário completo, interessante e caro [Análise/Review]",https://www.youtube.com/watch?v=OM3y5Aj87FU,31874,511193,2020-03-13T00:00:06Z,Canaltech,1064
153,Review Samsung Galaxy A71: um celular intermediário completo – TecMundo,https://www.youtube.com/watch?v=w8ZokAmv8yE,15444,257622,2020-08-10T17:25:44Z,TecMundo,1155
135,"Análise do Samsung Galaxy A71: 06 meses depois, VALE A PENA?",https://www.youtube.com/watch?v=UOczVkDtNy0,11642,249103,2020-09-06T21:30:00Z,Mundo Conectado,1327
924,Galaxy A71 - O NOVO GIGANTE DA SAMSUNG! Unboxing e Impressões,https://www.youtube.com/watch?v=TXRGXFVxlEc,78398,1220889,2020-03-17T15:40:00Z,Gesiel Taveira,5091
44,"GALAXY A71 | Agora, VALE A PENA! Análise/ Review ATUALIZADO",https://www.youtube.com/watch?v=i4IceenolYE,5388,83751,2020-07-06T23:00:15Z,brasiliGEEKS,631
202,GALAXY A71! SERÁ ELE o REI da SAMSUNG!? COMPLETO e com ÓTIMAS CÂMERAS! REVIEW!,https://www.youtube.com/watch?v=bTwsyaDgD6g,17588,321012,2020-07-10T21:15:59Z,Be!Tech,1747
127,GALAXY A71: AVANÇOS DISCRETOS para se MANTER RELEVANTE | Análise / Review,https://www.youtube.com/watch?v=E8n6fAU4nI0,6358,186926,2020-02-28T14:46:55Z,TudoCelular,456
366,SAMSUNG GALAXY A71 CHEGOU ! SERÁ O MELHOR CUSTO BENEFÍCIO BRASIL?,https://www.youtube.com/watch?v=0q_EGLVpX88,27499,382680,2020-04-13T22:00:00Z,K Tech,1587
200,GALAXY A71! Um dos MAIS COMPLETOS e DESEJADOS da SAMSUNG! É BOM MESMO!? UNBOXING!,https://www.youtube.com/watch?v=v5TrkKvVDfs,15689,326460,2020-06-20T14:56:52Z,Be!Tech,1381
